mean_radius,std_radius,mean_time,mean_sillhouette_s,std_sillhouette_s,mean_rand_s,std_rand_s
0.20044608214534457,0.009998130768232437,0.34143563111623126,0.565075868855698,0.04387240314015187,0.9606792181927656,0.008272123648846509
0.2694529904272975,0.05251086587027414,0.22661631902058918,0.5231729782162353,0.08192897521650809,0.9125626994420769,0.02217243146431895
0.235136591906939,0.028721804605249535,0.25408116976420086,0.5790117326957465,0.0413554344739683,0.9248790228447558,0.02051250499220079
0.2871252234559837,0.032067795490762885,0.26213674545288085,0.7084883814221468,0.028743071343250694,0.9714613880139173,0.013839203254041785
0.23474070408557454,0.022845297903403686,0.23321499824523925,0.7206045991313292,0.03151561137944829,0.957634693558474,0.007883528794771489
0.19282832227261176,0.008973238019305113,0.5815807104110717,0.4475060481161576,0.03570177634120926,0.9342632062471292,0.007763621231810333
0.26176606382072826,0.024180784611556712,0.2121573766072591,0.5889188994664948,0.06854728257694435,0.9427442612150784,0.016554977292704724
0.16504509099994794,0.007211242511590702,0.5031998952229818,0.43628097094186835,0.031644824449617324,0.9351344953129519,0.005217940674837845
0.20434237607921207,0.03461046113499097,0.4970746676127116,0.551064671518049,0.038620129649961754,0.9545291005291004,0.016129687210642646
0.24034116311115952,0.01709123805553412,0.20775238672892252,0.5970609821426697,0.04443765492311222,0.9470301650825412,0.012863396508653143
