mean_radius,std_radius,mean_time,mean_sillhouette_s,std_sillhouette_s,mean_rand_s,std_rand_s
0.6626525871545701,0.044413205172744406,0.027419598897298177,0.3405558206084754,0.016941137948778214,0.5016488977955912,0.003019806531721891
0.6846712628941224,0.04470094538620405,0.025008908907572427,0.4150882895525731,0.09748811085222135,0.6864462257849033,0.1141343721304369
0.5452888237594267,0.04579773031635929,0.05041504700978597,0.5351030860618526,0.08147112312644034,0.7938685370741484,0.041420616530723514
0.4020012180265708,0.03994708039120356,0.06152687867482503,0.39579614952229203,0.08186879619996253,0.6835091516366066,0.07117512738558279
0.4921991139776535,0.03156973913234842,0.0412672758102417,0.5591496181723156,0.05755729563412266,0.8854140280561122,0.051096204317485606
0.615435146745786,0.07774847376989664,0.024382503827412923,0.33146766184367643,0.05984307402504107,0.534894321977288,0.019581649028268942
0.6371990731191325,0.0566279204854402,0.024343061447143554,0.401778357447405,0.0914759807410778,0.6831551102204408,0.08263779756068272
0.4813161690509272,0.0468827892890531,0.0399511178334554,0.397410168900263,0.04755884037689209,0.6152133600534404,0.11327102620472101
0.33430749347332955,0.04026681332292792,0.05282055536905925,0.5439063083309907,0.05370064098240619,0.8268937875751502,0.05048167292401892
0.4507172378132782,0.03548400999232142,0.053837188084920246,0.5588609508742244,0.03585521234542993,0.8970533066132264,0.06669757796038903
