mean_radius,std_radius,mean_time,mean_sillhouette_s,std_sillhouette_s,mean_rand_s,std_rand_s
0.14627794626964014,0.007628176196013372,0.4331993897755941,0.5891437459281301,0.027330351464587805,0.9684824232319025,0.00476312580745556
0.17721879980577568,0.012366959570831943,0.2750989357630412,0.4788616637657803,0.03603746235480153,0.9296294031663681,0.013331002612098363
0.1474570022171218,0.007049599457324452,0.2680383205413818,0.5349694141429525,0.0346510873778747,0.945704669001167,0.008876718783539909
0.1797505750820143,0.014712937383950677,0.2605574051539103,0.7289134144931669,0.019415203378081697,0.9922391040289873,0.007620074288690922
0.1539035941180278,0.009309687883690203,0.20803482532501222,0.7031425598030501,0.035179018696924386,0.9591695330414842,0.005963366028690427
0.14086542590759393,0.00647020949533041,0.5055428345998129,0.4455557281413978,0.03444664440811015,0.9371361285493118,0.006717284389815915
0.16194721378930824,0.01033340864370509,0.2532471179962158,0.5258896863955157,0.030098473150333076,0.9637818541164843,0.009176404675448769
0.12220857106560121,0.00697672671353398,0.7849559863408406,0.4521762206938014,0.030442548125153433,0.941718811140033,0.008091315943179118
0.14931495290131025,0.009043933901520902,0.5446443080902099,0.5338386102005634,0.03204370687467202,0.9614288011024346,0.008004088665546355
0.16560491417835538,0.010159584184549207,0.2991457939147949,0.6272009366798659,0.03712653401984023,0.9608541270635319,0.00982163049614622
