mean_radius,std_radius,mean_time,mean_sillhouette_s,std_sillhouette_s,mean_rand_s,std_rand_s
0.7285853589966578,2.220446049250313e-16,0.04401659965515137,0.36309608070209287,1.1102230246251565e-16,0.49900601202404826,1.6653345369377348e-16
0.6979603974767404,1.1102230246251565e-16,0.04026788870493571,0.499025610101652,1.1102230246251565e-16,0.76161122244489,2.220446049250313e-16
0.6321969773847838,1.1102230246251565e-16,0.0366204818089803,0.6541271614843063,2.220446049250313e-16,0.9049539078156312,0.0
0.4769400429738637,1.1102230246251565e-16,0.04177545706431071,0.5015848399996623,0.0,0.8063326653306613,0.0
0.5242385384206663,1.1102230246251565e-16,0.03649000326792399,0.654252233403572,1.1102230246251565e-16,0.9868136272545092,1.1102230246251565e-16
0.6433481827810007,0.0,0.04348250230153402,0.2763199283018657,0.0,0.508817635270541,1.1102230246251565e-16
0.691805989296424,1.1102230246251565e-16,0.05339539845784505,0.4842026522590641,5.551115123125783e-17,0.747302605210421,2.220446049250313e-16
0.6126899344350808,0.0,0.05000247955322266,0.5903856343140832,1.1102230246251565e-16,0.9030220440881761,2.220446049250313e-16
0.398159678291951,1.6653345369377348e-16,0.04019374847412109,0.6917030941440554,2.220446049250313e-16,0.9687374749499,2.220446049250313e-16
0.44535362356208996,0.0,0.04287318388621012,0.6093710785158061,1.1102230246251565e-16,0.9690260521042084,0.0
