mean_radius,std_radius,mean_time,mean_sillhouette_s,std_sillhouette_s,mean_rand_s,std_rand_s
0.8323692412916442,0.09213554858341301,0.037025856971740725,0.3279959472993989,0.0181929706442178,0.5092406145624582,0.0074943174270802404
0.8267723970203578,0.09247858061965097,0.03920684655507405,0.4046016124895325,0.11740726574982496,0.6742161656646626,0.1011077968224793
0.688526353045086,0.05005949568595096,0.06595262686411539,0.49800497387739145,0.1234521668251726,0.7851853039412158,0.030114461626743957
0.5425348783191677,0.0725534520661255,0.055527750651041666,0.38865709990983227,0.06790140525029956,0.671026586506346,0.05780635529536096
0.6113069040109121,0.04634413300702704,0.05706085364023845,0.4809632780198944,0.07521778456267146,0.8235847695390781,0.06649602211851861
0.780952090100569,0.08401069146982065,0.04065449237823486,0.34960261781444213,0.04820790255480738,0.5551778223112893,0.01824044149918175
0.8677761375124192,0.08846471926994036,0.039396389325459795,0.40065717672377155,0.1056905364412411,0.6751326653306615,0.09964009362237307
0.6282111335244938,0.06607718964622004,0.06389312744140625,0.40992748321788525,0.03869218179649028,0.6713955911823649,0.08534202409416074
0.5170247121823125,0.07905578370277083,0.06550100644429525,0.5424225610647434,0.04115819608894286,0.8329776887107551,0.029958240285240353
0.5859422663666695,0.04481894181676158,0.053822771708170576,0.5182191859056962,0.03218049350604678,0.8565309285237142,0.046830757276365834
