mean_radius,std_radius,mean_time,mean_sillhouette_s,std_sillhouette_s,mean_rand_s,std_rand_s
0.18172650716434577,8.326672684688674e-17,0.04369072119394938,0.6413152224982865,3.3306690738754696e-16,0.9895480755870499,2.220446049250313e-16
0.22645073031955226,5.2662502028650513e-17,0.05493570963541667,0.5073778923231677,1.1102230246251565e-16,0.9693873139398433,2.220446049250313e-16
0.20849972788743518,2.7755575615628914e-17,0.0569219430287679,0.5452320180515071,1.1102230246251565e-16,0.982631815907954,0.0
0.21551933031056575,5.551115123125783e-17,0.054433830579121906,0.7459327023851968,0.0,0.9992619356432584,2.220446049250313e-16
0.19298401913750768,0.0,0.07635844548543294,0.6440601600612942,1.1102230246251565e-16,0.9668855534709195,2.220446049250313e-16
0.17965363813680651,2.7755575615628914e-17,0.036257115999857585,0.5120449076067286,0.0,0.9639440106160362,1.1102230246251565e-16
0.16770985693778126,2.7755575615628914e-17,0.07281628449757895,0.5809043704191333,1.1102230246251565e-16,0.9880272991167935,2.220446049250313e-16
0.189395973549695,5.551115123125783e-17,0.02538889249165853,0.5054507916181562,1.1102230246251565e-16,0.9576971367325063,2.220446049250313e-16
0.15482683165254643,2.7755575615628914e-17,0.030463274319966635,0.5608620248815626,2.220446049250313e-16,0.9781097841065685,2.220446049250313e-16
0.2636229356984713,5.551115123125783e-17,0.06013162930806478,0.6685281195401133,0.0,0.9740790395197602,3.3306690738754696e-16
